01. Ano,02. Nome Região (Portugal),03. Âmbito Geográfico,04. Filtro 1,05. Filtro 2,06. Filtro 3,07. Escala,08. Símbolo,09. Valor
1997,Portugal,,25-34,,, pessoas,,113401.6
1997,Portugal,,35-44,,, pessoas,,84706.1
1997,Portugal,,45-54,,, pessoas,,69822.0
1997,Portugal,,55 ou mais anos,,, pessoas,,60510.3
1997,Portugal,,Menos de 25 anos,,, pessoas,,100041.9
1997,Portugal,,Total,,, pessoas,,428481.8
1998,Portugal,,25-34,,, pessoas,,98049.3
1998,Portugal,,35-44,,, pessoas,,77511.8
1998,Portugal,,45-54,,, pessoas,,67809.8
1998,Portugal,,55 ou mais anos,,, pessoas,,62223.5
1998,Portugal,,Menos de 25 anos,,, pessoas,,81725.4
1998,Portugal,,Total,,, pessoas,,387319.8
1999,Portugal,,25-34,,, pessoas,,83570.4
1999,Portugal,,35-44,,, pessoas,,69033.3
1999,Portugal,,45-54,,, pessoas,,65037.2
1999,Portugal,,55 ou mais anos,,, pessoas,,63868.3
1999,Portugal,,Menos de 25 anos,,, pessoas,,63719.2
1999,Portugal,,Total,,, pessoas,,345228.3
2000,Portugal,,25-34,,, pessoas,,74115.3
2000,Portugal,,35-44,,, pessoas,,61658.8
2000,Portugal,,45-54,,, pessoas,,62438.3
2000,Portugal,,55 ou mais anos,,, pessoas,,66238.8
2000,Portugal,,Menos de 25 anos,,, pessoas,,52467.4
2000,Portugal,,Total,,, pessoas,,316918.5
2001,Portugal,,25-34,,, pessoas,,74311.3
2001,Portugal,,35-44,,, pessoas,,60650.8
2001,Portugal,,45-54,,, pessoas,,62003.5
2001,Portugal,,55 ou mais anos,,, pessoas,,68021.5
2001,Portugal,,Menos de 25 anos,,, pessoas,,51181.3
2001,Portugal,,Total,,, pessoas,,316168.3
2002,Portugal,,25-34,,, pessoas,,82909.2
2002,Portugal,,35-44,,, pessoas,,64548.7
2002,Portugal,,45-54,,, pessoas,,65286.6
2002,Portugal,,55 ou mais anos,,, pessoas,,69306.0
2002,Portugal,,Menos de 25 anos,,, pessoas,,54610.1
2002,Portugal,,Total,,, pessoas,,336660.5
2003,Portugal,,25-34,,, pessoas,,108774.3
2003,Portugal,,35-44,,, pessoas,,81673.3
2003,Portugal,,45-54,,, pessoas,,78407.4
2003,Portugal,,55 ou mais anos,,, pessoas,,81102.0
2003,Portugal,,Menos de 25 anos,,, pessoas,,67623.8
2003,Portugal,,Total,,, pessoas,,417580.8
2004,Portugal,,25-34,,, pessoas,,114829.8
2004,Portugal,,35-44,,, pessoas,,89850.8
2004,Portugal,,45-54,,, pessoas,,87820.3
2004,Portugal,,55 ou mais anos,,, pessoas,,90458.8
2004,Portugal,,Menos de 25 anos,,, pessoas,,68194.8
2004,Portugal,,Total,,, pessoas,,451154.5
