Ano;Território;Modalidade de ensino;Taxa de retenção e desistência no ensino secunário, em todos os anos de escolaridade;Desemprego registado nos centros de emprego (para menores de 25 anos)
2009.0;Portugal_nan;Cursos gerais;;63359.8
2009.0;Portugal_nan;Cursos Tecnológicos e Profissionais;;63359.8
2009.0;Portugal_nan;Total;;63359.8
2010.0;Portugal_nan;Cursos gerais;21.1;64303.2
2010.0;Portugal_nan;Cursos Tecnológicos e Profissionais;16.3;64303.2
2010.0;Portugal_nan;Total;19.3;64303.2
2011.0;Portugal_nan;Cursos gerais;22.3;60814.9
2011.0;Portugal_nan;Cursos Tecnológicos e Profissionais;18.4;60814.9
2011.0;Portugal_nan;Total;20.8;60814.9
2012.0;Portugal_nan;Cursos gerais;22.2;77597.8
2012.0;Portugal_nan;Cursos Tecnológicos e Profissionais;16.9;77597.8
2012.0;Portugal_nan;Total;20.1;77597.8
2013.0;Portugal_nan;Cursos gerais;21.6;82800.6
2013.0;Portugal_nan;Cursos Tecnológicos e Profissionais;14.6;82800.6
2013.0;Portugal_nan;Total;19.0;82800.6
2014.0;Portugal_nan;Cursos gerais;21.1;74624.5
2014.0;Portugal_nan;Cursos Tecnológicos e Profissionais;14.2;74624.5
2014.0;Portugal_nan;Total;18.5;74624.5
2015.0;Portugal_nan;Cursos gerais;18.4;63993.5
2015.0;Portugal_nan;Cursos Tecnológicos e Profissionais;13.5;63993.5
2015.0;Portugal_nan;Total;16.6;63993.5
2016.0;Portugal_nan;Cursos gerais;18.0;58743.0
2016.0;Portugal_nan;Cursos Tecnológicos e Profissionais;11.6;58743.0
2016.0;Portugal_nan;Total;15.7;58743.0
2017.0;Portugal_nan;Cursos gerais;17.5;45595.9
2017.0;Portugal_nan;Cursos Tecnológicos e Profissionais;10.9;45595.9
2017.0;Portugal_nan;Total;15.1;45595.9
2018.0;Portugal_nan;Cursos gerais;16.0;34368.2
2018.0;Portugal_nan;Cursos Tecnológicos e Profissionais;10.3;34368.2
2018.0;Portugal_nan;Total;13.9;34368.2
2019.0;Portugal_nan;Cursos gerais;14.6;29769.5
2019.0;Portugal_nan;Cursos Tecnológicos e Profissionais;10.3;29769.5
2019.0;Portugal_nan;Total;13.1;29769.5
2020.0;Portugal_nan;Cursos gerais;8.1;40523.6
2020.0;Portugal_nan;Cursos Tecnológicos e Profissionais;9.2;40523.6
2020.0;Portugal_nan;Total;8.5;40523.6
2021.0;Portugal_nan;Cursos gerais;8.0;39756.7
2021.0;Portugal_nan;Cursos Tecnológicos e Profissionais;8.8;39756.7
2021.0;Portugal_nan;Total;8.3;39756.7
2022.0;Portugal_nan;Cursos gerais;8.3;29810.3
2022.0;Portugal_nan;Cursos Tecnológicos e Profissionais;9.0;29810.3
2022.0;Portugal_nan;Total;8.6;29810.3
2023.0;Portugal_nan;Cursos gerais;9.3;30968.8
2023.0;Portugal_nan;Cursos Tecnológicos e Profissionais;10.6;30968.8
2023.0;Portugal_nan;Total;9.8;30968.8
2009.0;Abrantes_Município;Cursos gerais;20.7;331.1
2009.0;Abrantes_Município;Cursos Tecnológicos e Profissionais;20.9;331.1
2009.0;Abrantes_Município;Total;20.8;331.1
2009.0;Águeda_Município;Cursos gerais;25.9;318.8
2009.0;Águeda_Município;Cursos Tecnológicos e Profissionais;11.7;318.8
2009.0;Águeda_Município;Total;21.4;318.8
2009.0;Aguiar da Beira_Município;Cursos gerais;9.1;22.0
2009.0;Aguiar da Beira_Município;Cursos Tecnológicos e Profissionais;6.5;22.0
2009.0;Aguiar da Beira_Município;Total;7.7;22.0
2009.0;Alandroal_Município;Cursos gerais;;36.5
2009.0;Alandroal_Município;Cursos Tecnológicos e Profissionais;14.3;36.5
2009.0;Alandroal_Município;Total;14.3;36.5
2009.0;Albergaria-a-Velha_Município;Cursos gerais;19.1;176.3
2009.0;Albergaria-a-Velha_Município;Cursos Tecnológicos e Profissionais;10.7;176.3
2009.0;Albergaria-a-Velha_Município;Total;15.5;176.3
2009.0;Albufeira_Município;Cursos gerais;24.6;281.3
2009.0;Albufeira_Município;Cursos Tecnológicos e Profissionais;16.8;281.3
2009.0;Albufeira_Município;Total;21.4;281.3
2009.0;Alcácer do Sal_Município;Cursos gerais;20.5;81.8
2009.0;Alcácer do Sal_Município;Cursos Tecnológicos e Profissionais;15.8;81.8
2009.0;Alcácer do Sal_Município;Total;19.4;81.8
2009.0;Alcanena_Município;Cursos gerais;19.6;77.4
2009.0;Alcanena_Município;Cursos Tecnológicos e Profissionais;20.5;77.4
2009.0;Alcanena_Município;Total;19.8;77.4
2009.0;Alcobaça_Município;Cursos gerais;19.7;309.7
2009.0;Alcobaça_Município;Cursos Tecnológicos e Profissionais;11.1;309.7
2009.0;Alcobaça_Município;Total;16.5;309.7
2009.0;Alcochete_Município;Cursos gerais;25.7;73.1
2009.0;Alcochete_Município;Cursos Tecnológicos e Profissionais;25.1;73.1
2009.0;Alcochete_Município;Total;25.6;73.1
2009.0;Alcoutim_Município;Cursos gerais;;3.9
2009.0;Alcoutim_Município;Cursos Tecnológicos e Profissionais;40.0;3.9
2009.0;Alcoutim_Município;Total;40.0;3.9
2009.0;Alenquer_Município;Cursos gerais;21.7;246.8
2009.0;Alenquer_Município;Cursos Tecnológicos e Profissionais;9.3;246.8
2009.0;Alenquer_Município;Total;17.6;246.8
2009.0;Alfândega da Fé_Município;Cursos gerais;31.2;28.0
2009.0;Alfândega da Fé_Município;Cursos Tecnológicos e Profissionais;27.3;28.0
2009.0;Alfândega da Fé_Município;Total;30.3;28.0
2009.0;Alijó_Município;Cursos gerais;27.7;97.4
2009.0;Alijó_Município;Cursos Tecnológicos e Profissionais;12.2;97.4
2009.0;Alijó_Município;Total;23.7;97.4
2009.0;Aljezur_Município;Cursos gerais;;20.8
2009.0;Aljezur_Município;Cursos Tecnológicos e Profissionais;;20.8
2009.0;Aljezur_Município;Total;;20.8
2009.0;Aljustrel_Município;Cursos gerais;25.9;52.2
2009.0;Aljustrel_Município;Cursos Tecnológicos e Profissionais;8.1;52.2
2009.0;Aljustrel_Município;Total;19.7;52.2
2009.0;Almada_Município;Cursos gerais;25.5;708.8
2009.0;Almada_Município;Cursos Tecnológicos e Profissionais;22.9;708.8
2009.0;Almada_Município;Total;24.6;708.8
2009.0;Almeida_Município;Cursos gerais;21.2;16.5
2009.0;Almeida_Município;Cursos Tecnológicos e Profissionais;28.0;16.5
2009.0;Almeida_Município;Total;22.3;16.5
2009.0;Almeirim_Município;Cursos gerais;14.8;99.1
2009.0;Almeirim_Município;Cursos Tecnológicos e Profissionais;27.8;99.1
2009.0;Almeirim_Município;Total;17.5;99.1
2009.0;Almodôvar_Município;Cursos gerais;16.7;67.7
2009.0;Almodôvar_Município;Cursos Tecnológicos e Profissionais;21.4;67.7
2009.0;Almodôvar_Município;Total;19.4;67.7
2009.0;Alpiarça_Município;Cursos gerais;21.0;33.8
2009.0;Alpiarça_Município;Cursos Tecnológicos e Profissionais;19.4;33.8
2009.0;Alpiarça_Município;Total;20.5;33.8
2009.0;Alter do Chão_Município;Cursos gerais;45.2;25.7
2009.0;Alter do Chão_Município;Cursos Tecnológicos e Profissionais;20.7;25.7
2009.0;Alter do Chão_Município;Total;27.5;25.7
2009.0;Alvaiázere_Município;Cursos gerais;25.8;41.8
2009.0;Alvaiázere_Município;Cursos Tecnológicos e Profissionais;11.0;41.8
2009.0;Alvaiázere_Município;Total;19.1;41.8
2009.0;Alvito_Município;Cursos gerais;;13.3
2009.0;Alvito_Município;Cursos Tecnológicos e Profissionais;5.0;13.3
2009.0;Alvito_Município;Total;5.0;13.3
2009.0;Amadora_Município;Cursos gerais;29.8;869.2
2009.0;Amadora_Município;Cursos Tecnológicos e Profissionais;23.3;869.2
2009.0;Amadora_Município;Total;26.9;869.2
2009.0;Amarante_Município;Cursos gerais;14.9;582.5
2009.0;Amarante_Município;Cursos Tecnológicos e Profissionais;4.3;582.5
2009.0;Amarante_Município;Total;8.5;582.5
2009.0;Amares_Município;Cursos gerais;30.0;123.0
2009.0;Amares_Município;Cursos Tecnológicos e Profissionais;5.5;123.0
2009.0;Amares_Município;Total;19.5;123.0
2009.0;Anadia_Município;Cursos gerais;14.4;158.6
2009.0;Anadia_Município;Cursos Tecnológicos e Profissionais;16.2;158.6
2009.0;Anadia_Município;Total;15.0;158.6
2009.0;Angra do Heroísmo_Município;Cursos gerais;;
2009.0;Angra do Heroísmo_Município;Cursos Tecnológicos e Profissionais;;
2009.0;Angra do Heroísmo_Município;Total;;
2009.0;Ansião_Município;Cursos gerais;21.8;78.8
2009.0;Ansião_Município;Cursos Tecnológicos e Profissionais;12.2;78.8
2009.0;Ansião_Município;Total;17.2;78.8
2009.0;Arcos de Valdevez_Município;Cursos gerais;18.4;161.8
2009.0;Arcos de Valdevez_Município;Cursos Tecnológicos e Profissionais;8.2;161.8
2009.0;Arcos de Valdevez_Município;Total;13.5;161.8
2009.0;Arganil_Município;Cursos gerais;25.4;59.8
2009.0;Arganil_Município;Cursos Tecnológicos e Profissionais;11.1;59.8
2009.0;Arganil_Município;Total;18.6;59.8
2009.0;Armamar_Município;Cursos gerais;;40.3
2009.0;Armamar_Município;Cursos Tecnológicos e Profissionais;;40.3
2009.0;Armamar_Município;Total;;40.3
2009.0;Arouca_Município;Cursos gerais;15.5;143.0
2009.0;Arouca_Município;Cursos Tecnológicos e Profissionais;6.7;143.0
2009.0;Arouca_Município;Total;12.2;143.0
2009.0;Arraiolos_Município;Cursos gerais;13.6;42.2
2009.0;Arraiolos_Município;Cursos Tecnológicos e Profissionais;13.9;42.2
2009.0;Arraiolos_Município;Total;13.7;42.2
2009.0;Arronches_Município;Cursos gerais;;21.2
2009.0;Arronches_Município;Cursos Tecnológicos e Profissionais;;21.2
2009.0;Arronches_Município;Total;;21.2
2009.0;Arruda dos Vinhos_Município;Cursos gerais;19.4;46.8
2009.0;Arruda dos Vinhos_Município;Cursos Tecnológicos e Profissionais;16.7;46.8
2009.0;Arruda dos Vinhos_Município;Total;19.1;46.8
2009.0;Aveiro_Município;Cursos gerais;24.5;604.7
2009.0;Aveiro_Município;Cursos Tecnológicos e Profissionais;15.6;604.7
2009.0;Aveiro_Município;Total;21.4;604.7
2009.0;Avis_Município;Cursos gerais;;34.2
2009.0;Avis_Município;Cursos Tecnológicos e Profissionais;14.2;34.2
2009.0;Avis_Município;Total;14.2;34.2
2009.0;Azambuja_Município;Cursos gerais;31.4;111.3
2009.0;Azambuja_Município;Cursos Tecnológicos e Profissionais;18.1;111.3
2009.0;Azambuja_Município;Total;27.6;111.3
2009.0;Baião_Município;Cursos gerais;32.0;279.6
2009.0;Baião_Município;Cursos Tecnológicos e Profissionais;7.7;279.6
2009.0;Baião_Município;Total;30.3;279.6
2009.0;Barcelos_Município;Cursos gerais;19.1;620.1
2009.0;Barcelos_Município;Cursos Tecnológicos e Profissionais;7.6;620.1
2009.0;Barcelos_Município;Total;14.7;620.1
2009.0;Barrancos_Município;Cursos gerais;;16.2
2009.0;Barrancos_Município;Cursos Tecnológicos e Profissionais;;16.2
2009.0;Barrancos_Município;Total;;16.2
2009.0;Barreiro_Município;Cursos gerais;23.5;458.1
2009.0;Barreiro_Município;Cursos Tecnológicos e Profissionais;22.5;458.1
2009.0;Barreiro_Município;Total;23.1;458.1
2009.0;Batalha_Município;Cursos gerais;21.5;65.7
2009.0;Batalha_Município;Cursos Tecnológicos e Profissionais;23.9;65.7
2009.0;Batalha_Município;Total;22.7;65.7
2009.0;Beja_Município;Cursos gerais;28.9;211.3
2009.0;Beja_Município;Cursos Tecnológicos e Profissionais;16.5;211.3
2009.0;Beja_Município;Total;24.3;211.3
2009.0;Belmonte_Município;Cursos gerais;23.4;54.2
2009.0;Belmonte_Município;Cursos Tecnológicos e Profissionais;14.3;54.2
2009.0;Belmonte_Município;Total;19.5;54.2
2009.0;Benavente_Município;Cursos gerais;21.8;200.2
2009.0;Benavente_Município;Cursos Tecnológicos e Profissionais;24.2;200.2
2009.0;Benavente_Município;Total;22.0;200.2
2009.0;Bombarral_Município;Cursos gerais;27.7;70.3
2009.0;Bombarral_Município;Cursos Tecnológicos e Profissionais;17.5;70.3
2009.0;Bombarral_Município;Total;25.2;70.3
2009.0;Borba_Município;Cursos gerais;;59.0
2009.0;Borba_Município;Cursos Tecnológicos e Profissionais;;59.0
2009.0;Borba_Município;Total;;59.0
2009.0;Boticas_Município;Cursos gerais;;32.8
2009.0;Boticas_Município;Cursos Tecnológicos e Profissionais;15.0;32.8
2009.0;Boticas_Município;Total;15.0;32.8
2009.0;Braga_Município;Cursos gerais;18.0;1112.5
2009.0;Braga_Município;Cursos Tecnológicos e Profissionais;12.1;1112.5
